Time,Old_state,New_state
60000000,IDLE,RX_CTRL
60017856,RX_CTRL,IDLE
60232141,IDLE,TX
60249997,TX,IDLE
60250000,IDLE,RX_CTRL
60267856,RX_CTRL,IDLE
60482141,IDLE,TX
60499997,TX,IDLE
60500000,IDLE,RX_CTRL
60517856,RX_CTRL,IDLE
60732141,IDLE,TX
60749997,TX,IDLE
60750000,IDLE,RX_CTRL
60767856,RX_CTRL,IDLE
60982141,IDLE,TX
60999997,TX,IDLE
61000000,IDLE,RX_CTRL
61017856,RX_CTRL,IDLE
61232141,IDLE,TX
61249997,TX,IDLE
61250000,IDLE,RX_CTRL
61267856,RX_CTRL,IDLE
61482141,IDLE,TX
61499997,TX,IDLE
61500000,IDLE,RX_CTRL
61517856,RX_CTRL,IDLE
61732141,IDLE,TX
61749997,TX,IDLE
61750000,IDLE,RX_CTRL
61767856,RX_CTRL,IDLE
61982141,IDLE,TX
61999997,TX,IDLE
62000000,IDLE,RX_CTRL
62017856,RX_CTRL,IDLE
62232141,IDLE,TX
62249997,TX,IDLE
62250000,IDLE,RX_CTRL
62267856,RX_CTRL,IDLE
62482141,IDLE,TX
62499997,TX,IDLE
62500000,IDLE,RX_CTRL
62517856,RX_CTRL,IDLE
62732141,IDLE,TX
62749997,TX,IDLE
62750000,IDLE,RX_CTRL
62767856,RX_CTRL,IDLE
62982141,IDLE,TX
62999997,TX,IDLE
63000000,IDLE,RX_CTRL
63017856,RX_CTRL,IDLE
63232141,IDLE,TX
63249997,TX,IDLE
63250000,IDLE,RX_CTRL
63267856,RX_CTRL,IDLE
63482141,IDLE,TX
63499997,TX,IDLE
63500000,IDLE,RX_CTRL
63517856,RX_CTRL,IDLE
63732141,IDLE,TX
63749997,TX,IDLE
63750000,IDLE,RX_CTRL
63767856,RX_CTRL,IDLE
63982141,IDLE,TX
63999997,TX,IDLE
64000000,IDLE,RX_CTRL
64017856,RX_CTRL,IDLE
64232141,IDLE,TX
64249997,TX,IDLE
64250000,IDLE,RX_CTRL
64267856,RX_CTRL,IDLE
64482141,IDLE,TX
64499997,TX,IDLE
64500000,IDLE,RX_CTRL
64517856,RX_CTRL,IDLE
64535715,IDLE,RX_DATA
64553570,RX_DATA,IDLE
64732141,IDLE,TX
64749997,TX,IDLE
64750000,IDLE,RX_CTRL
64767856,RX_CTRL,IDLE
64982141,IDLE,TX
64999997,TX,IDLE
65000000,IDLE,RX_CTRL
65017856,RX_CTRL,IDLE
65232141,IDLE,TX
65249997,TX,IDLE
65250000,IDLE,RX_CTRL
65267856,RX_CTRL,IDLE
65482141,IDLE,TX
65499997,TX,IDLE
65500000,IDLE,RX_CTRL
65517856,RX_CTRL,IDLE
65732141,IDLE,TX
65749997,TX,IDLE
65750000,IDLE,RX_CTRL
65767856,RX_CTRL,IDLE
65785715,IDLE,TX
65803570,TX,IDLE
65982141,IDLE,TX
65999997,TX,IDLE
66000000,IDLE,RX_CTRL
66017856,RX_CTRL,IDLE
66035715,IDLE,TX
66053570,TX,IDLE
66232141,IDLE,TX
66249997,TX,IDLE
66250000,IDLE,RX_CTRL
66267856,RX_CTRL,IDLE
66285715,IDLE,TX
66303570,TX,IDLE
66482141,IDLE,TX
66499997,TX,IDLE
66500000,IDLE,RX_CTRL
66517856,RX_CTRL,IDLE
66732141,IDLE,TX
66749997,TX,IDLE
66750000,IDLE,RX_CTRL
66767856,RX_CTRL,IDLE
66767858,IDLE,RX_DATA
66785713,RX_DATA,IDLE
66982141,IDLE,TX
66999997,TX,IDLE
67000000,IDLE,RX_CTRL
67017856,RX_CTRL,IDLE
67232141,IDLE,TX
67249997,TX,IDLE
67250000,IDLE,RX_CTRL
67267856,RX_CTRL,IDLE
67482141,IDLE,TX
67499997,TX,IDLE
67500000,IDLE,RX_CTRL
67517856,RX_CTRL,IDLE
67732141,IDLE,TX
67749997,TX,IDLE
67750000,IDLE,RX_CTRL
67767856,RX_CTRL,IDLE
67982141,IDLE,TX
67999997,TX,IDLE
68000000,IDLE,RX_CTRL
68017856,RX_CTRL,IDLE
68232141,IDLE,TX
68249997,TX,IDLE
68250000,IDLE,RX_CTRL
68267856,RX_CTRL,IDLE
68482141,IDLE,TX
68499997,TX,IDLE
68500000,IDLE,RX_CTRL
68517856,RX_CTRL,IDLE
68732141,IDLE,TX
68749997,TX,IDLE
68750000,IDLE,RX_CTRL
68767856,RX_CTRL,IDLE
68982141,IDLE,TX
68999997,TX,IDLE
69000000,IDLE,RX_CTRL
69017856,RX_CTRL,IDLE
69232141,IDLE,TX
69249997,TX,IDLE
69250000,IDLE,RX_CTRL
69267856,RX_CTRL,IDLE
69482141,IDLE,TX
69499997,TX,IDLE
69500000,IDLE,RX_CTRL
69517856,RX_CTRL,IDLE
69732141,IDLE,TX
69749997,TX,IDLE
69750000,IDLE,RX_CTRL
69767856,RX_CTRL,IDLE
69982141,IDLE,TX
69999997,TX,IDLE
70000000,IDLE,RX_CTRL
70017856,RX_CTRL,IDLE
70232141,IDLE,TX
70249997,TX,IDLE
70250000,IDLE,RX_CTRL
70267856,RX_CTRL,IDLE
70482141,IDLE,TX
70499997,TX,IDLE
70500000,IDLE,RX_CTRL
70517856,RX_CTRL,IDLE
70732141,IDLE,TX
70749997,TX,IDLE
70750000,IDLE,RX_CTRL
70767856,RX_CTRL,IDLE
70982141,IDLE,TX
70999997,TX,IDLE
71000000,IDLE,RX_CTRL
71017856,RX_CTRL,IDLE
71232141,IDLE,TX
71249997,TX,IDLE
71250000,IDLE,RX_CTRL
71267856,RX_CTRL,IDLE
71482141,IDLE,TX
71499997,TX,IDLE
71500000,IDLE,RX_CTRL
71517856,RX_CTRL,IDLE
71732141,IDLE,TX
71749997,TX,IDLE
71750000,IDLE,RX_CTRL
71767856,RX_CTRL,IDLE
71982141,IDLE,TX
71999997,TX,IDLE
72000000,IDLE,RX_CTRL
72017856,RX_CTRL,IDLE
72232141,IDLE,TX
72249997,TX,IDLE
72250000,IDLE,RX_CTRL
72267856,RX_CTRL,IDLE
72482141,IDLE,TX
72499997,TX,IDLE
72500000,IDLE,RX_CTRL
72517856,RX_CTRL,IDLE
72732141,IDLE,TX
72749997,TX,IDLE
72750000,IDLE,RX_CTRL
72767856,RX_CTRL,IDLE
72982141,IDLE,TX
72999997,TX,IDLE
73000000,IDLE,RX_CTRL
73017856,RX_CTRL,IDLE
73232141,IDLE,TX
73249997,TX,IDLE
73250000,IDLE,RX_CTRL
73267856,RX_CTRL,IDLE
73482141,IDLE,TX
73499997,TX,IDLE
73500000,IDLE,RX_CTRL
73517856,RX_CTRL,IDLE
73732141,IDLE,TX
73749997,TX,IDLE
73750000,IDLE,RX_CTRL
73767856,RX_CTRL,IDLE
73982141,IDLE,TX
73999997,TX,IDLE
74000000,IDLE,RX_CTRL
74017856,RX_CTRL,IDLE
74232141,IDLE,TX
74249997,TX,IDLE
74250000,IDLE,RX_CTRL
74267856,RX_CTRL,IDLE
74482141,IDLE,TX
74499997,TX,IDLE
74500000,IDLE,RX_CTRL
74517856,RX_CTRL,IDLE
74732141,IDLE,TX
74749997,TX,IDLE
74750000,IDLE,RX_CTRL
74767856,RX_CTRL,IDLE
74982141,IDLE,TX
74999997,TX,IDLE
75000000,IDLE,RX_CTRL
75017856,RX_CTRL,IDLE
75232141,IDLE,TX
75249997,TX,IDLE
75250000,IDLE,RX_CTRL
75267856,RX_CTRL,IDLE
75482141,IDLE,TX
75499997,TX,IDLE
75500000,IDLE,RX_CTRL
75517856,RX_CTRL,IDLE
75732141,IDLE,TX
75749997,TX,IDLE
75750000,IDLE,RX_CTRL
75767856,RX_CTRL,IDLE
75982141,IDLE,TX
75999997,TX,IDLE
76000000,IDLE,RX_CTRL
76017856,RX_CTRL,IDLE
76232141,IDLE,TX
76249997,TX,IDLE
76250000,IDLE,RX_CTRL
76267856,RX_CTRL,IDLE
76482141,IDLE,TX
76499997,TX,IDLE
76500000,IDLE,RX_CTRL
76517856,RX_CTRL,IDLE
76732141,IDLE,TX
76749997,TX,IDLE
76750000,IDLE,RX_CTRL
76767856,RX_CTRL,IDLE
76982141,IDLE,TX
76999997,TX,IDLE
77000000,IDLE,RX_CTRL
77017856,RX_CTRL,IDLE
77232141,IDLE,TX
77249997,TX,IDLE
77250000,IDLE,RX_CTRL
77267856,RX_CTRL,IDLE
77482141,IDLE,TX
77499997,TX,IDLE
77500000,IDLE,RX_CTRL
77517856,RX_CTRL,IDLE
77732141,IDLE,TX
77749997,TX,IDLE
77750000,IDLE,RX_CTRL
77767856,RX_CTRL,IDLE
77982141,IDLE,TX
77999997,TX,IDLE
78000000,IDLE,RX_CTRL
78017856,RX_CTRL,IDLE
78232141,IDLE,TX
78249997,TX,IDLE
78250000,IDLE,RX_CTRL
78267856,RX_CTRL,IDLE
78482141,IDLE,TX
78499997,TX,IDLE
78500000,IDLE,RX_CTRL
78517856,RX_CTRL,IDLE
78732141,IDLE,TX
78749997,TX,IDLE
78750000,IDLE,RX_CTRL
78767856,RX_CTRL,IDLE
78982141,IDLE,TX
78999997,TX,IDLE
79000000,IDLE,RX_CTRL
79017856,RX_CTRL,IDLE
79232141,IDLE,TX
79249997,TX,IDLE
79250000,IDLE,RX_CTRL
79267856,RX_CTRL,IDLE
79482141,IDLE,TX
79499997,TX,IDLE
79500000,IDLE,RX_CTRL
79517856,RX_CTRL,IDLE
79732141,IDLE,TX
79749997,TX,IDLE
79750000,IDLE,RX_CTRL
79767856,RX_CTRL,IDLE
79982141,IDLE,TX
79999997,TX,IDLE
80000000,IDLE,RX_CTRL
80017856,RX_CTRL,IDLE
80232141,IDLE,TX
80249997,TX,IDLE
80250000,IDLE,RX_CTRL
80267856,RX_CTRL,IDLE
80482141,IDLE,TX
80499997,TX,IDLE
80500000,IDLE,RX_CTRL
80517856,RX_CTRL,IDLE
80732141,IDLE,TX
80749997,TX,IDLE
80750000,IDLE,RX_CTRL
80767856,RX_CTRL,IDLE
80982141,IDLE,TX
80999997,TX,IDLE
81000000,IDLE,RX_CTRL
81017856,RX_CTRL,IDLE
81232141,IDLE,TX
81249997,TX,IDLE
81250000,IDLE,RX_CTRL
81267856,RX_CTRL,IDLE
81482141,IDLE,TX
81499997,TX,IDLE
81500000,IDLE,RX_CTRL
81517856,RX_CTRL,IDLE
81732141,IDLE,TX
81749997,TX,IDLE
81750000,IDLE,RX_CTRL
81767856,RX_CTRL,IDLE
81982141,IDLE,TX
81999997,TX,IDLE
82000000,IDLE,RX_CTRL
82017856,RX_CTRL,IDLE
82232141,IDLE,TX
82249997,TX,IDLE
82250000,IDLE,RX_CTRL
82267856,RX_CTRL,IDLE
82482141,IDLE,TX
82499997,TX,IDLE
82500000,IDLE,RX_CTRL
82517856,RX_CTRL,IDLE
82732141,IDLE,TX
82749997,TX,IDLE
82750000,IDLE,RX_CTRL
82767856,RX_CTRL,IDLE
82982141,IDLE,TX
82999997,TX,IDLE
83000000,IDLE,RX_CTRL
83017856,RX_CTRL,IDLE
83232141,IDLE,TX
83249997,TX,IDLE
83250000,IDLE,RX_CTRL
83267856,RX_CTRL,IDLE
83482141,IDLE,TX
83499997,TX,IDLE
83500000,IDLE,RX_CTRL
83517856,RX_CTRL,IDLE
83732141,IDLE,TX
83749997,TX,IDLE
83750000,IDLE,RX_CTRL
83767856,RX_CTRL,IDLE
83982141,IDLE,TX
83999997,TX,IDLE
84000000,IDLE,RX_CTRL
84017856,RX_CTRL,IDLE
84232141,IDLE,TX
84249997,TX,IDLE
84250000,IDLE,RX_CTRL
84267856,RX_CTRL,IDLE
84482141,IDLE,TX
84499997,TX,IDLE
84500000,IDLE,RX_CTRL
84517856,RX_CTRL,IDLE
84732141,IDLE,TX
